Year,Gasoline_US,Diesel_US,Jet_Fuel_US,Other_Sources_US,Total_US,Gasoline_Europe,Diesel_Europe,Jet_Fuel_Europe,Other_Sources_Europe,Total_Europe,Gasoline_China,Diesel_China,Jet_Fuel_China,Other_Sources_China,Total_China,Gasoline_World,Diesel_World,Jet_Fuel_World,Other_Sources_World,Total_World
1980,6613,3260,1009,6179,17062,2786,4925,567,7491,15769,229,344,81,1053,1707,14481,15179,4085,27663,61408
1981,6489,3166,936,5469,16060,2689,4640,541,6903,14772,216,341,77,992,1625,14364,14908,4025,26236,59533
1982,6461,2911,932,4991,15295,2715,4465,533,6400,14112,228,330,75,981,1614,14362,14489,3995,24998,57845
1983,6573,2928,966,4767,15235,2718,4480,525,6128,13851,251,342,81,980,1654,14466,14565,4039,24595,57665
1984,6681,3061,1068,4915,15725,2767,4499,545,6104,13915,275,362,85,991,1713,14692,14871,4223,25122,58908
1985,6755,3104,1119,4749,15726,3033,5121,627,6812,15594,320,402,85,1000,1807,14923,15219,4223,24953,59319
1986,6918,3197,1203,4963,16281,3140,5310,655,6993,16099,344,438,85,1057,1925,15318,15609,4393,25781,61101
1987,7163,3235,1275,4991,16665,3223,5328,692,6971,16214,373,479,85,1112,2048,15798,15889,4617,26132,62436
1988,7332,3393,1332,5226,17283,3320,5277,740,6953,16290,409,532,79,1183,2203,16252,16344,4828,26983,64407
1989,7383,3412,1369,5161,17325,3367,5176,776,6930,16248,425,569,80,1241,2315,16620,16585,4971,27456,65632
1990,7239,3374,1383,4944,16939,3522,5265,815,6958,16560,436,557,78,1226,2297,16826,16837,5127,27574,66364
1991,7140,3309,1342,4868,16659,3488,5380,793,6681,16342,507,616,86,1283,2491,16835,17134,5047,27460,66477
1992,7265,3359,1351,4993,16969,3452,5248,830,6530,16059,574,701,93,1337,2705,17030,17234,5122,28176,67561
1993,7422,3437,1407,4895,17161,3361,5224,839,6197,15621,662,819,96,1437,3013,17188,17337,5215,27657,67397
1994,7541,3555,1529,5009,17635,3331,5179,858,6208,15576,619,785,102,1563,3069,17556,17634,5414,28373,68976
1995,7723,3581,1551,4780,17635,3340,5292,894,6331,15858,667,891,116,1668,3342,17941,18056,5643,28455,70095
1996,7850,3705,1637,5053,18245,3371,5578,945,6206,16100,724,985,125,1825,3660,18251,18865,5925,28600,71642
1997,7961,3839,1664,5075,18539,3394,5590,990,6252,16226,744,1078,151,2035,4007,18613,19420,6087,29621,73741
1998,8184,3844,1701,5097,18827,3390,5718,1049,6434,16591,760,1083,158,2138,4139,18947,19433,6120,29619,74119
1999,8361,3952,1748,5364,19425,3372,5737,1110,6226,16446,778,1257,187,2165,4387,19248,19930,6357,30139,75674
2000,8386,4059,1793,5356,19594,3222,5718,1146,6123,16209,803,1377,196,2321,4697,19122,20350,6484,30529,76485
2001,8519,4155,1728,5133,19534,3192,6020,1135,6151,16497,826,1451,202,2330,4810,19434,21017,6387,30527,77366
2002,8735,4070,1664,5156,19625,3154,5994,1104,6189,16441,875,1580,209,2537,5200,19888,21203,6272,30875,78238
2003,8771,4253,1633,5191,19848,3041,6175,1132,6183,16532,942,1738,211,2890,5781,20050,21894,6236,31728,79908
2004,8897,4420,1694,5488,20499,2988,6277,1203,6186,16654,1071,2066,255,3345,6738,20469,22848,6439,32899,82654
2005,8918,4443,1749,5421,20532,2865,6394,1264,6266,16788,1111,2238,271,3259,6878,20686,23360,6671,33174,83891
2006,8913,4523,1687,5190,20313,2772,6535,1302,6212,16822,1199,2392,288,3523,7402,20846,23924,6638,33508,84916
2007,8855,4522,1655,5177,20208,2679,6381,1336,6113,16509,1263,2548,309,3658,7778,20996,24468,6641,33995,86100
2008,8375,4228,1553,4685,18841,2528,6537,1332,5900,16297,1402,2761,315,3426,7904,20698,24743,6469,33260,85170
2009,8291,3809,1411,4520,18030,2451,6284,1254,5573,15561,1412,2761,363,3704,8240,20811,24012,6127,33133,84083
2010,8168,3995,1452,4709,18324,2313,6381,1249,5467,15409,1591,3005,437,4356,9390,21084,25087,6366,34319,86856
2011,7926,4022,1438,4597,17983,2212,6256,1255,5252,14976,1738,3196,459,4346,9739,21107,25725,6427,34562,87820
2012,7858,3816,1403,4516,17594,2098,6138,1227,4996,14458,1863,3453,495,4360,10170,21420,26028,6410,34927,88784
2013,7993,3838,1440,4735,18006,2029,6201,1247,4818,14296,2143,3503,546,4476,10668,22030,26542,6603,34976,90152
2014,8056,4060,1479,4541,18136,1995,6102,1278,4657,14032,2236,3506,588,4804,11134,22279,26660,6707,35256,90903
2015,8280,4005,1555,4685,18524,1945,6386,1347,4683,14360,2601,3538,659,5114,11911,23024,26879,6970,35737,92610
2016,8394,3845,1623,4756,18618,1949,6493,1387,4839,14669,2707,3418,728,5395,12248,23600,26682,7245,36877,94404
2017,8393,3925,1687,4878,18883,1952,6646,1474,4919,14991,2840,3440,816,5746,12842,23960,27112,7556,37384,96013
2018,8400,4121,1712,5195,19428,1943,6602,1537,4854,14936,2921,3492,927,6034,13375,24094,27599,7842,37815,97348
2019,8338,4073,1747,5242,19400,1958,6650,1570,4717,14896,3087,3690,974,6304,14056,24324,27955,7979,38013,98272
